iter	MultiClass
0	1.435636296
1	1.31392471
2	1.220592629
3	1.149834131
4	1.091966875
5	1.043873421
6	1.004493737
7	0.9671261682
8	0.9378512611
9	0.912102165
10	0.8871658945
11	0.8702008645
12	0.8508680361
13	0.8367181121
14	0.8237312343
15	0.8115271686
16	0.8001506392
17	0.7887725879
18	0.7773547576
19	0.7698265222
20	0.7624088637
21	0.7554883162
22	0.7477884023
23	0.7421137401
24	0.7366104409
25	0.7298888358
26	0.7247625963
27	0.7202948053
28	0.716680076
29	0.7127535174
30	0.7096384102
31	0.7069125958
32	0.7046299831
33	0.7027562185
34	0.70035637
35	0.6985633601
36	0.6952464284
37	0.6918567399
38	0.6897003954
39	0.6876674419
40	0.6846514515
41	0.6835418354
42	0.6820022673
43	0.6809457972
44	0.6789193231
45	0.6775969312
46	0.6769234341
47	0.6765802245
48	0.6757507732
49	0.674403157
50	0.6733855255
51	0.671580291
52	0.670141433
53	0.667804682
54	0.6665567157
55	0.6663886738
56	0.6659353527
57	0.6654550571
58	0.6644720361
59	0.6633958871
60	0.6621495981
61	0.6603547868
62	0.659944395
63	0.6593477109
64	0.6592358787
65	0.6587104703
66	0.658558047
67	0.658063466
68	0.6575171388
69	0.6566793211
70	0.6563343451
71	0.6561995766
72	0.6560018322
73	0.6555720234
74	0.6549625774
75	0.6544139262
76	0.6536395208
77	0.6530724847
78	0.6527249699
79	0.6506995206
80	0.6499300821
81	0.6484746382
82	0.648250094
83	0.6480703009
84	0.6471330719
85	0.64706742
86	0.6465211632
87	0.6461809732
88	0.6445734898
89	0.6439719252
90	0.6435473317
91	0.6431503946
92	0.6426518023
93	0.6415295038
94	0.6412741606
95	0.6405600792
96	0.6400796463
97	0.640017027
98	0.6399226957
99	0.6397845693
100	0.6388813962
101	0.6382248055
102	0.6380263654
103	0.637848827
104	0.6375354744
105	0.6367601299
106	0.636486827
107	0.6362620814
108	0.6361008132
109	0.6356480943
110	0.6345802528
111	0.6336915939
112	0.633034163
113	0.6326709702
114	0.6323790158
115	0.6323532702
116	0.6314986324
117	0.6314729071
118	0.6312614927
119	0.6306242705
120	0.6302799851
121	0.6293014889
122	0.6289597976
123	0.6280863496
124	0.6276797029
125	0.6268261262
126	0.6261933133
127	0.6255318224
128	0.6250336332
129	0.6243063373
130	0.6234628669
131	0.6229178373
132	0.6224526499
133	0.6217851792
134	0.6215020134
135	0.6210260081
136	0.6206679591
137	0.6199994464
138	0.6193986999
139	0.6192992355
140	0.6192634853
141	0.618606958
142	0.6183512086
143	0.6177985347
144	0.6174380493
145	0.6172267625
146	0.6169763177
147	0.6164766094
148	0.6156913689
149	0.6152771301
150	0.6147560631
151	0.6145787822
152	0.6142784184
153	0.6135503409
154	0.6131100975
155	0.6125908552
156	0.612526305
157	0.6124670097
158	0.6123779475
159	0.6121371151
160	0.6118440548
161	0.6117977081
162	0.6116245198
163	0.6114661813
164	0.6113823076
165	0.6108961664
166	0.6105049771
167	0.6101678944
168	0.6099089215
169	0.609787525
170	0.6097109503
171	0.6092231748
172	0.6091302325
173	0.6088564629
174	0.6085585123
175	0.6079562921
176	0.6078996496
177	0.6074658123
178	0.6073378063
179	0.6068384093
180	0.6067022637
181	0.6064586736
182	0.6062024409
183	0.6060893256
184	0.6058378846
185	0.6054799001
186	0.6049721194
187	0.6049426164
188	0.6046831324
189	0.6045971867
190	0.6043883758
191	0.6039652609
192	0.6036839164
193	0.6032753123
194	0.6030769653
195	0.6028878132
196	0.6025714767
197	0.6023929983
198	0.6022989148
199	0.6022661543
200	0.6021159841
201	0.6019939532
202	0.6018649303
203	0.6017046695
204	0.6014900782
205	0.6011534857
206	0.6010472769
207	0.6008377626
208	0.6003929101
209	0.5999924655
210	0.5999263476
211	0.5996088744
212	0.5991727463
213	0.5990901013
214	0.5989982618
215	0.5989513005
216	0.598928423
217	0.5988556381
218	0.5988348019
219	0.5987266525
220	0.5986472939
221	0.5985372853
222	0.5983886686
223	0.5983429177
224	0.5981517181
225	0.5978720067
226	0.5977928554
227	0.5977485
228	0.5972942015
229	0.5972327697
230	0.597183277
231	0.5971368125
232	0.596851586
233	0.5965253451
234	0.5965088476
235	0.5963918455
236	0.596082722
237	0.5959660746
238	0.5955151244
239	0.5954385152
240	0.59527202
241	0.5949757817
242	0.5948273859
243	0.5947398719
244	0.594459406
245	0.5942721734
246	0.5942171802
247	0.5940955145
248	0.5933594311
249	0.5932077564
250	0.5931809493
251	0.5930468452
252	0.5929318695
253	0.5929018092
254	0.5924995649
255	0.5920713856
256	0.5920357569
257	0.5918435004
258	0.5915445759
259	0.5912747266
260	0.5912407246
261	0.5911832755
262	0.5908844221
263	0.5908198674
264	0.5907857739
265	0.590546895
266	0.5904104158
267	0.5903667218
268	0.5901553359
269	0.5899266476
270	0.5899050367
271	0.5897492634
272	0.5896482648
273	0.5896089201
274	0.5895966911
275	0.589486869
276	0.5890066163
277	0.5887630499
278	0.588692453
279	0.5886772749
280	0.5885599714
281	0.5882411945
282	0.5881682873
283	0.5881037903
284	0.5880856364
285	0.5880688854
286	0.5880281807
287	0.5879284678
288	0.5878030013
289	0.5875227314
290	0.5873238485
291	0.5871165354
292	0.5868958644
293	0.586827621
294	0.5866222742
295	0.5866121075
296	0.5865346556
297	0.5863193742
298	0.5862332375
299	0.585988286
300	0.5856357428
301	0.5855577396
302	0.5854415805
303	0.5852941037
304	0.5851727045
305	0.58495586
306	0.5848665983
307	0.5847057802
308	0.5844565715
309	0.5844382039
310	0.584098082
311	0.5837463287
312	0.5837159451
313	0.5836334361
314	0.583608702
315	0.5835713173
316	0.5834414847
317	0.5833109899
318	0.5832792396
319	0.5830787193
320	0.5829896314
321	0.5827949316
322	0.5826987127
323	0.5826541281
324	0.5824607075
325	0.5822894235
326	0.5822100394
327	0.5819164413
328	0.5817044865
329	0.5816867178
330	0.5813454342
331	0.5810636577
332	0.5810472213
333	0.5809785496
334	0.5807867018
335	0.5807526211
336	0.5806358157
337	0.5805846601
338	0.5802232932
339	0.5799388696
340	0.5797512929
341	0.5796435756
342	0.5794562749
343	0.5793350165
344	0.5790130878
345	0.5788550848
346	0.5786906869
347	0.5786451948
348	0.5785994598
349	0.5785848275
350	0.5785270984
351	0.5783625027
352	0.5781502009
353	0.5779552922
354	0.5778763789
355	0.5778345854
356	0.5777456971
357	0.5776710231
358	0.5775865341
359	0.577139434
360	0.577085285
361	0.5769785382
362	0.5765447349
363	0.5764465501
364	0.5764316104
365	0.5763699126
366	0.5763565172
367	0.5762030733
368	0.5760652103
369	0.5759497748
370	0.5758130539
371	0.575278512
372	0.5751402551
373	0.5750029453
374	0.5748144483
375	0.5747344276
376	0.5744468393
377	0.5742343109
378	0.5742239419
379	0.5738607508
380	0.5736944771
381	0.5736527446
382	0.5735282463
383	0.5733857573
384	0.5731706461
385	0.5731396768
386	0.5731278307
387	0.5729763307
388	0.5729341636
389	0.5728406003
390	0.5726565844
391	0.5724141696
392	0.5722426331
393	0.5721432198
394	0.5721218787
395	0.5720727499
396	0.5720638041
397	0.5719039047
398	0.5718895163
399	0.571693064
400	0.571568847
401	0.5713290218
402	0.571267875
403	0.5708544072
404	0.57068181
405	0.5706670689
406	0.5705058221
407	0.5702285739
408	0.5702167402
409	0.5701695627
410	0.5701314788
411	0.5701093329
412	0.5699306425
413	0.5697752781
414	0.5697232452
415	0.5697056075
416	0.5695953972
417	0.569499765
418	0.5693520643
419	0.5693340519
420	0.5692715639
421	0.5691569065
422	0.5689352222
423	0.5686176492
424	0.5685990795
425	0.5683437481
426	0.5682795387
427	0.5681289199
428	0.5680809563
429	0.567923579
430	0.5678688787
431	0.5677458892
432	0.5676553751
433	0.5675575341
434	0.5673495135
435	0.5672583749
436	0.5672385988
437	0.5669672126
438	0.5668066116
439	0.56668704
440	0.5665738782
441	0.56655815
442	0.5665082197
443	0.5664580989
444	0.5663179961
445	0.5662897822
446	0.5661941872
447	0.5661749851
448	0.5659649142
449	0.5657208609
450	0.565699687
451	0.565391285
452	0.5653836232
453	0.5653324641
454	0.5652438211
455	0.5651548416
456	0.565070254
457	0.5650066367
458	0.5649416118
459	0.5648370719
460	0.5646523208
461	0.5645374415
462	0.5644448378
463	0.5642756111
464	0.5641039882
465	0.5639945285
466	0.563961379
467	0.563887077
468	0.563876338
469	0.5635957572
470	0.5635681963
471	0.5635465717
472	0.5634710749
473	0.5632400046
474	0.563171149
475	0.5629761418
476	0.5629501249
477	0.5629031684
478	0.5628554629
479	0.56282644
480	0.5627166334
481	0.5626491895
482	0.5625279479
483	0.5624984041
484	0.5622627884
485	0.5621149891
486	0.5620581821
487	0.5618609966
488	0.5617983916
489	0.561714923
490	0.5616598506
491	0.561581088
492	0.5614564523
493	0.5614246017
494	0.5613027358
495	0.5612281485
496	0.5610274959
497	0.5609470695
498	0.5606489855
499	0.5604799158
500	0.5604198541
501	0.5604029815
502	0.5602211837
503	0.5601046151
504	0.5598922779
505	0.5597705438
506	0.5596638864
507	0.55939952
508	0.5592089882
509	0.5590568096
510	0.5589308044
511	0.5588678632
512	0.5587101329
513	0.5586848586
514	0.5586676879
515	0.5586595391
516	0.558531319
517	0.558508781
518	0.558131049
519	0.5581145091
520	0.5579487044
521	0.5578483372
522	0.5575006035
523	0.5571326561
524	0.5568308528
525	0.5566549677
526	0.5564920483
527	0.556453881
528	0.5564107005
529	0.5563965661
530	0.5563186418
531	0.5562788185
532	0.5559670897
533	0.5559568453
534	0.555893762
535	0.5558468719
536	0.5557548567
537	0.5557482395
538	0.5555564238
539	0.5554694683
540	0.5554346297
541	0.5554098677
542	0.5551048807
543	0.554935564
544	0.5549268735
545	0.5548424222
546	0.5546259162
547	0.554460109
548	0.5543263063
549	0.5541926475
550	0.5541144333
551	0.5539964055
552	0.5538562653
553	0.553783298
554	0.5537375848
555	0.5534573888
556	0.5532490077
557	0.5531050823
558	0.5530628789
559	0.5528358886
560	0.5527140971
561	0.5526829614
562	0.5525312763
563	0.5525233668
564	0.5523459725
565	0.5522242779
566	0.5522172749
567	0.5520482402
568	0.5518697933
569	0.5517853985
570	0.5517754595
571	0.5516415724
572	0.5516336524
573	0.5516269172
574	0.5515493741
575	0.551417589
576	0.551224838
577	0.5509497585
578	0.5509075369
579	0.5507909915
580	0.5506886929
581	0.5505846742
582	0.5504956648
583	0.5504785514
584	0.5504188023
585	0.550187707
586	0.5501394164
587	0.5500018822
588	0.5498402721
589	0.5498316586
590	0.5497536714
591	0.5495293099
592	0.54952374
593	0.5494208544
594	0.5493681544
595	0.5493334298
596	0.5491861426
597	0.5491723035
598	0.5489786577
599	0.5487982525
600	0.5486588486
601	0.5485885816
602	0.5485147842
603	0.5484310545
604	0.5483923865
605	0.5481861405
606	0.5481633159
607	0.5480702589
608	0.5480493028
609	0.5479189126
610	0.5478206848
611	0.5476538039
612	0.5475349413
613	0.5475259559
614	0.5474549858
615	0.5473981469
616	0.5472665669
617	0.547254719
618	0.5472213457
619	0.5471894986
620	0.5471318345
621	0.5470077733
622	0.5468463727
623	0.546753885
624	0.5465618276
625	0.5465100763
626	0.5463942569
627	0.5461398093
628	0.545908933
629	0.5458719936
630	0.5457553825
631	0.5457359929
632	0.545688209
633	0.5455182575
634	0.5454559212
635	0.5453821805
636	0.5452008458
637	0.5451781307
638	0.5449791035
639	0.5449711385
640	0.5448143607
641	0.5445341398
642	0.5444634789
643	0.5441354661
644	0.544123957
645	0.5439689041
646	0.5439223776
647	0.5438029251
648	0.5437445834
649	0.5435630342
650	0.5435410583
651	0.5434382758
652	0.543150355
653	0.5429267181
654	0.5427683777
655	0.5427204695
656	0.5425373288
657	0.5424919607
658	0.5424616788
659	0.5423990672
660	0.5420563916
661	0.5420001115
662	0.5419243837
663	0.5418540724
664	0.541824676
665	0.5416423104
666	0.5415093288
667	0.5414717753
668	0.5414524897
669	0.5410727171
670	0.5410416774
671	0.5410261529
672	0.5409799779
673	0.5407731043
674	0.5407230816
675	0.5406845684
676	0.540521649
677	0.5404080106
678	0.5404023757
679	0.5402220552
680	0.5401862208
681	0.5397856215
682	0.5394790135
683	0.5394267268
684	0.5392000854
685	0.5390609684
686	0.5390006861
687	0.5389611044
688	0.5389163284
689	0.5387525304
690	0.5386995571
691	0.5386448763
692	0.5386116917
693	0.5385251586
694	0.5384277691
695	0.5384067448
696	0.5381666167
697	0.5379782902
698	0.5379094961
699	0.5379023423
700	0.5378012113
701	0.5377030745
702	0.537537569
703	0.537528026
704	0.5373870805
705	0.5372252731
