iter	Passed	Remaining
0	182	182495
1	250	124907
2	412	137158
3	533	132910
4	637	126775
5	697	115567
6	752	106684
7	810	100497
8	868	95681
9	922	91340
10	978	88011
11	1041	85714
12	1111	84382
13	1194	84129
14	1256	82491
15	1310	80584
16	1380	79809
17	1440	78580
18	1494	77180
19	1539	75450
20	1582	73761
21	1631	72532
22	1676	71230
23	1719	69921
24	1760	68669
25	1811	67848
26	1868	67322
27	1915	66508
28	1968	65919
29	2011	65036
30	2061	64451
31	2114	63972
32	2158	63242
33	2205	62652
34	2250	62059
35	2294	61442
36	2347	61086
37	2390	60515
38	2464	60729
39	2586	62065
40	2752	64380
41	2868	65431
42	2926	65123
43	2963	64388
44	3002	63721
45	3039	63026
46	3076	62375
47	3114	61773
48	3149	61119
49	3189	60607
50	3225	60022
51	3283	59856
52	3341	59714
53	3398	59535
54	3437	59068
55	3473	58548
56	3523	58292
57	3568	57960
58	3617	57698
59	3659	57338
60	3699	56954
61	3747	56697
62	3786	56316
63	3827	55971
64	3865	55608
65	3909	55324
66	3954	55066
67	3997	54795
68	4038	54493
69	4078	54186
70	4117	53874
71	4149	53478
72	4188	53189
73	4227	52902
74	4266	52623
75	4309	52391
76	4349	52132
77	4386	51844
78	4431	51665
79	4477	51490
80	4515	51236
81	4560	51053
82	4601	50840
83	4649	50698
84	4745	51079
85	4795	50968
86	4838	50778
87	4884	50625
88	4928	50446
89	4963	50188
90	4999	49936
91	5035	49697
92	5076	49512
93	5128	49432
94	5167	49226
95	5211	49075
96	5253	48908
97	5289	48683
98	5325	48470
99	5361	48251
100	5405	48113
101	5441	47903
102	5479	47722
103	5518	47542
104	5555	47354
105	5599	47222
106	5638	47057
107	5675	46878
108	5717	46740
109	5773	46713
110	5836	46744
111	5881	46635
112	5918	46456
113	5955	46288
114	6004	46208
115	6055	46144
116	6121	46195
117	6155	46011
118	6191	45839
119	6235	45727
120	6290	45698
121	6344	45660
122	6399	45630
123	6480	45780
124	6589	46127
125	6725	46654
126	6806	46787
127	6849	46659
128	6890	46523
129	6930	46381
130	6971	46243
131	7013	46118
132	7053	45977
133	7098	45874
134	7138	45737
135	7179	45611
136	7227	45529
137	7278	45462
138	7322	45360
139	7362	45227
140	7401	45094
141	7447	45000
142	7495	44920
143	7540	44824
144	7579	44690
145	7622	44585
146	7660	44453
147	7713	44403
148	7757	44305
149	7808	44246
150	7850	44137
151	7891	44027
152	7932	43916
153	7972	43795
154	8010	43671
155	8048	43544
156	8081	43392
157	8118	43262
158	8158	43150
159	8197	43038
160	8233	42905
161	8267	42764
162	8308	42665
163	8348	42555
164	8382	42420
165	8423	42318
166	8465	42227
167	8508	42136
168	8546	42022
169	8584	41911
170	8620	41793
171	8660	41690
172	8698	41583
173	8735	41469
174	8773	41359
175	8825	41320
176	8860	41198
177	8903	41115
178	8940	41007
179	8981	40915
180	9025	40837
181	9062	40731
182	9104	40644
183	9138	40527
184	9177	40429
185	9214	40324
186	9260	40261
187	9298	40160
188	9334	40056
189	9368	39941
190	9429	39938
191	9494	39954
192	9542	39901
193	9585	39822
194	9626	39740
195	9665	39648
196	9707	39570
197	9748	39485
198	9789	39404
199	9840	39360
200	9883	39286
201	9920	39192
202	9967	39135
203	10005	39039
204	10045	38955
205	10087	38879
206	10140	38845
207	10191	38805
208	10243	38769
209	10283	38686
210	10318	38584
211	10359	38507
212	10400	38427
213	10445	38365
214	10490	38302
215	10530	38220
216	10562	38112
217	10602	38033
218	10636	37931
219	10671	37834
220	10706	37737
221	10746	37662
222	10800	37632
223	10838	37548
224	10875	37459
225	10912	37373
226	10946	37277
227	10979	37176
228	11019	37102
229	11061	37030
230	11094	36934
231	11131	36848
232	11167	36762
233	11208	36691
234	11245	36607
235	11285	36533
236	11325	36460
237	11363	36381
238	11401	36304
239	11436	36215
240	11472	36132
241	11521	36087
242	11567	36033
243	11607	35964
244	11646	35889
245	11683	35810
246	11723	35740
247	11763	35668
248	11827	35672
249	11881	35643
250	11920	35571
251	11960	35500
252	12004	35443
253	12047	35383
254	12094	35333
255	12135	35269
256	12177	35204
257	12215	35130
258	12255	35062
259	12296	34997
260	12332	34919
261	12373	34852
262	12414	34788
263	12448	34706
264	12486	34631
265	12525	34562
266	12564	34493
267	12603	34424
268	12640	34351
269	12682	34290
270	12714	34203
271	12750	34126
272	12789	34058
273	12826	33985
274	12862	33911
275	12899	33838
276	12942	33782
277	12981	33715
278	13017	33639
279	13058	33578
280	13132	33602
281	13172	33537
282	13208	33464
283	13243	33388
284	13281	33319
285	13316	33243
286	13351	33168
287	13388	33098
288	13421	33018
289	13456	32945
290	13493	32876
291	13545	32842
292	13601	32819
293	13659	32801
294	13702	32747
295	13746	32693
296	13784	32627
297	13825	32567
298	13863	32503
299	13901	32437
300	13948	32393
301	13990	32335
302	14028	32269
303	14064	32200
304	14100	32130
305	14140	32071
306	14182	32013
307	14217	31943
308	14257	31883
309	14290	31808
310	14333	31754
311	14372	31692
312	14412	31633
313	14450	31570
314	14483	31495
315	14518	31425
316	14553	31357
317	14587	31285
318	14619	31210
319	14664	31162
320	14698	31091
321	14735	31027
322	14770	30959
323	14811	30902
324	14850	30844
325	14892	30791
326	14929	30726
327	14972	30674
328	15010	30615
329	15045	30547
330	15092	30503
331	15129	30441
332	15162	30370
333	15196	30301
334	15231	30236
335	15271	30179
336	15308	30117
337	15346	30056
338	15381	29991
339	15422	29937
340	15460	29877
341	15494	29810
342	15538	29762
343	15575	29702
344	15615	29646
345	15654	29589
346	15691	29529
347	15727	29466
348	15765	29407
349	15801	29345
350	15841	29290
351	15879	29232
352	15921	29182
353	15959	29124
354	16000	29070
355	16038	29013
356	16078	28959
357	16113	28896
358	16149	28834
359	16191	28785
360	16226	28722
361	16269	28673
362	16313	28627
363	16349	28566
364	16381	28499
365	16415	28434
366	16451	28376
367	16492	28323
368	16531	28269
369	16567	28208
370	16603	28149
371	16649	28107
372	16696	28066
373	16748	28034
374	16806	28010
375	16849	27962
376	16890	27912
377	16932	27862
378	16967	27801
379	17012	27756
380	17050	27701
381	17101	27666
382	17150	27629
383	17198	27589
384	17242	27542
385	17274	27478
386	17306	27412
387	17345	27359
388	17388	27312
389	17442	27281
390	17490	27241
391	17530	27190
